    (1352689, 1361777)
(155208695, 155213824)
  (27106484, 27369460)
(105145875, 105279816)
    (1253147, 1295068)
  (56815549, 56896152)
  (18086949, 19002416)
  (79768028, 80226181)
(143598039, 143604839)
  (90167590, 90238137)
  (21994139, 22128103)
(121478332, 121598458)
  (69155478, 69162440)
(103109410, 103479863)
  (49188736, 49274600)
  (52897187, 52949954)
(111405923, 111451623)
  (32315086, 32400268)
  (67819779, 68730218)
  (37686431, 37745059)
  (17249171, 17282786)
  (34122470, 34123290)
(103849906, 103849980)
(111599498, 111600256)
  (33993646, 34108308)
  (31846713, 32299125)
                     -
(155208695, 155213824)
(210676823, 211134165)
(169003022, 169038416)
  (79768028, 80226181)
(143598039, 143604839)
  (90167590, 90238137)
  (80374015, 80374569)
                     -
  (21994139, 22128103)
(111405923, 111451623)
  (32315086, 32400268)
  (37686431, 37745059)
  (17249171, 17282786)
  (34122470, 34123290)
  (31846713, 32299125)
  (33993646, 34108308)
  (70003031, 70205726)
    (4963253, 4983283)
  (40391591, 40587364)
  (21543039, 21901839)
    (1253147, 1295068)
    (1317752, 1345099)
  (31739677, 31762676)
      (853634, 981318)
  (50065967, 50107272)
  (38078134, 38084184)
        (58059, 76355)
    (1253147, 1295068)
  (55019017, 55211628)
  (55019017, 55211628)
  (21994139, 22128103)
  (63659300, 63698684)
(128634199, 129683770)
    (7661779, 7687546)
  (64745075, 64833232)
  (81821272, 82718299)
  (50065967, 50107272)
  (41754604, 41786931)
  (28794555, 28800597)
(186930325, 187078553)
    (2059839, 2303785)
  (12785478, 12929643)
  (28687743, 28742422)
  (45825675, 45844094)
  (45786987, 46036122)
        (51009, 51114)
  (53970838, 54305300)
        (37434, 37534)
  (96279195, 96363341)
(106063246, 106078155)
  (31001065, 31161160)
  (37923187, 38067142)
(147590996, 147591835)
(147508690, 147737547)
  (16004236, 16008807)
(155002630, 155018523)
  (85561562, 85582031)
(111119378, 111168444)
(105145875, 105279816)
  (27830573, 28180795)
(144355288, 144380632)
(126556323, 127419050)
(128220504, 128220803)
                     -
  (21756548, 22003769)
(113353425, 113353484)
  (62123998, 62153169)
  (66330241, 66336840)
  (69048932, 69136316)
  (91271323, 91417844)
  (54968727, 55173632)
  (19385826, 19508932)
(155173787, 155184971)
  (46043661, 46176488)
  (62741208, 62741385)
  (79068966, 79316519)
    (1995166, 2004552)
  (92513781, 92688994)
  (17292131, 17310236)
(173297629, 173298512)
    (1253147, 1295068)
    (1253147, 1295068)
(133052013, 133106449)
  (56815549, 56896152)
  (25962802, 25991231)
  (27247701, 27256624)
  (28349947, 28369172)
  (29934101, 29934286)
  (31740020, 31764851)
  (22002903, 22009305)
  (36108531, 36129385)
        (37434, 37534)
  (16409503, 16870843)
